load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW
Anhui,2040-06-26_00:00,191893,-156907,34986.6,0,0,0
Anhui,2040-06-26_04:00,190620,-158641,30004.3,1974.13,0,0
Anhui,2040-06-26_08:00,130600,-97055.2,31570.8,1974.13,0,0
Anhui,2040-06-26_12:00,180535,-141251,37309.8,1974.13,0,0
Anhui,2040-06-26_16:00,193572,-155477,38094.7,0,0,0
Anhui,2040-06-26_20:00,192609,-152171,39957.6,480.193,0,0
Anhui,2040-12-19_00:00,189487,-151555,37820.1,111.777,0,0
Anhui,2040-12-19_04:00,189533,-156639,32434.3,459.528,0,0
Anhui,2040-12-19_08:00,192158,-157571,34127.7,459.528,0,0
Anhui,2040-12-19_12:00,193537,-152746,40331.4,459.528,0,0
Anhui,2040-12-19_16:00,190591,-149411,41179.9,0,0,0
Anhui,2040-12-19_20:00,190252,-147058,43193.7,0,0,0
Anhui,2050-06-12_00:00,220554,-179144,41410.6,0,0,0
Anhui,2050-06-12_04:00,220453,-184940,35513.5,0,0,0
Anhui,2050-06-12_08:00,333970,-293110,37367.6,3492.32,0,0
Anhui,2050-06-12_12:00,340972,-293319,44160.3,3492.32,0,0
Anhui,2050-06-12_16:00,313603,-267455,45089.4,1059.22,0,0
Anhui,2050-06-12_20:00,220714,-173420,47294.4,0,0,0
Anhui,2050-12-12_00:00,222025,-177260,44764.4,0,0,0
Anhui,2050-12-12_04:00,222283,-183433,38389.7,459.528,0,0
Anhui,2050-12-12_08:00,287738,-246884,40394,459.528,0,0
Anhui,2050-12-12_12:00,309207,-261010,47736.8,459.528,0,0
Anhui,2050-12-12_16:00,245149,-196296,48741.1,111.777,0,0
Anhui,2050-12-12_20:00,223141,-172016,51124.7,0,0,0
Fujian,2040-06-26_00:00,38935.2,6793.7,45728.9,0,0,0
Fujian,2040-06-26_04:00,34430.9,7054.09,41485,0,0,0
Fujian,2040-06-26_08:00,65956.4,-21392,43235.8,1328.6,0,0
Fujian,2040-06-26_12:00,58636.1,-6217.18,51668.4,750.526,0,0
Fujian,2040-06-26_16:00,53175.4,0,52507.9,667.485,0,0
Fujian,2040-06-26_20:00,37225.6,13506.7,50732.3,0,0,0
Fujian,2040-12-19_00:00,39291.5,3685.68,42977.2,0,0,0
Fujian,2040-12-19_04:00,37957.4,1206.64,38988.7,175.359,0,0
Fujian,2040-12-19_08:00,51000.8,-10191.3,40634.1,175.359,0,0
Fujian,2040-12-19_12:00,55262.9,-6528.27,48559.3,175.359,0,0
Fujian,2040-12-19_16:00,49390.9,0,49348.3,42.6549,0,0
Fujian,2040-12-19_20:00,37526.8,10152.8,47679.5,0,0,0
Fujian,2050-06-12_00:00,34112.7,20763,54125.2,750.526,0,0
Fujian,2050-06-12_04:00,29089.6,20763,49102.1,750.526,0,0
Fujian,2050-06-12_08:00,41152,20763,51174.4,10740.6,0,0
Fujian,2050-06-12_12:00,61718.8,10218.9,61155.4,10782.3,0,0
Fujian,2050-06-12_16:00,48637.2,13511.8,62149,0,0,0
Fujian,2050-06-12_20:00,40121.5,20216.5,60047.4,290.547,0,0
Fujian,2050-12-12_00:00,50868.3,0,50868.3,0,0,0
Fujian,2050-12-12_04:00,46147.5,0,46147.5,0,0,0
Fujian,2050-12-12_08:00,64326.1,-16055.7,48095.1,175.359,0,0
Fujian,2050-12-12_12:00,88971,-21392,57475.4,10103.6,0,0
Fujian,2050-12-12_16:00,63110.7,-4701.41,58409.2,0,0,0
Fujian,2050-12-12_20:00,56520.8,-86.6832,56434.1,0,0,0
Jiangsu,2040-06-26_00:00,19074.4,87480.8,106555,0,0,0
Jiangsu,2040-06-26_04:00,11844.5,88052.1,97997.2,1899.39,0,0
Jiangsu,2040-06-26_08:00,13357.5,96038,107496,1899.39,0,0
Jiangsu,2040-06-26_12:00,19005.2,107260,124366,1899.39,0,0
Jiangsu,2040-06-26_16:00,29978.6,97226.1,126743,462.015,0,0
Jiangsu,2040-06-26_20:00,41828.1,80933.9,122762,0,0,0
Jiangsu,2040-12-19_00:00,36154.1,80323.2,116033,443.976,0,0
Jiangsu,2040-12-19_04:00,21795.4,85362.6,106714,443.976,0,0
Jiangsu,2040-12-19_08:00,13726.4,104435,117058,1103.94,0,0
Jiangsu,2040-12-19_12:00,38494.7,97377.7,135428,443.976,0,0
Jiangsu,2040-12-19_16:00,59817.7,78198.7,138016,0,0,0
Jiangsu,2040-12-19_20:00,58258.9,75866.8,133682,443.976,0,0
Jiangsu,2050-06-12_00:00,60493.4,65626.7,126120,0,0,0
Jiangsu,2050-06-12_04:00,36707.2,79283.5,115991,0,0,0
Jiangsu,2050-06-12_08:00,16161.4,158700,127234,47628.1,0,0
Jiangsu,2050-06-12_12:00,17768.7,177257,147201,47824.5,0,0
Jiangsu,2050-06-12_16:00,17759.6,133272,150014,1017.63,0,0
Jiangsu,2050-06-12_20:00,95409.5,49893.1,145303,0,0,0
Jiangsu,2050-12-12_00:00,52932.1,84850.3,137338,443.976,0,0
Jiangsu,2050-12-12_04:00,38421,88331,126308,443.976,0,0
Jiangsu,2050-12-12_08:00,18088.8,150929,138551,30466.7,0,0
Jiangsu,2050-12-12_12:00,20407.6,168938,160295,29050.9,0,0
Jiangsu,2050-12-12_16:00,100614,62744.3,163358,0,0,0
Jiangsu,2050-12-12_20:00,54622,104049,158227,443.976,0,0
Shanghai,2040-06-26_00:00,5510,24682.8,30192.8,0,0,0
Shanghai,2040-06-26_04:00,0,26289.7,26289.7,0,0,0
Shanghai,2040-06-26_08:00,3431.35,29491.6,32922.9,0,0,0
Shanghai,2040-06-26_12:00,4182.07,36307.7,40489.8,0,0,0
Shanghai,2040-06-26_16:00,6749.06,33237.8,39986.8,0,0,0
Shanghai,2040-06-26_20:00,7904,29069.6,36973.6,0,0,0
Shanghai,2040-12-19_00:00,7904,26344.3,34248.3,0,0,0
Shanghai,2040-12-19_04:00,5510,24311,29821,0,0,0
Shanghai,2040-12-19_08:00,7976.46,29368.7,37345.2,0,0,0
Shanghai,2040-12-19_12:00,9620.68,36307.7,45928.4,0,0,0
Shanghai,2040-12-19_16:00,17229.2,28128.6,45357.9,0,0,0
Shanghai,2040-12-19_20:00,13811.2,28128.6,41939.9,0,0,0
Shanghai,2050-06-12_00:00,1900,33836.6,35736.6,0,0,0
Shanghai,2050-06-12_04:00,1900,29216.8,31116.8,0,0,0
Shanghai,2050-06-12_08:00,4395.84,34572.2,38968,0,0,0
Shanghai,2050-06-12_12:00,5293.74,42630.5,47924.2,0,0,0
Shanghai,2050-06-12_16:00,3145.55,44183.3,47328.9,0,0,0
Shanghai,2050-06-12_20:00,3154,40608.4,43762.4,0,0,0
Shanghai,2050-12-12_00:00,17657.4,22879.3,40536.7,0,0,0
Shanghai,2050-12-12_04:00,1900,33396.5,35296.5,0,0,0
Shanghai,2050-12-12_08:00,1711.69,42490.5,44202.2,0,0,0
Shanghai,2050-12-12_12:00,3346.19,51015.2,54361.4,0,0,0
Shanghai,2050-12-12_16:00,4955.55,48730.6,53686.1,0,0,0
Shanghai,2050-12-12_20:00,49640.5,0,49640.5,0,0,0
Zhejiang,2040-06-26_00:00,42051,35376,77427,0,0,0
Zhejiang,2040-06-26_04:00,36855.3,34634.3,67563.8,3925.89,0,0
Zhejiang,2040-06-26_08:00,98716.1,-9517.61,85272.6,3925.89,0,0
Zhejiang,2040-06-26_12:00,94713.1,1588.14,92375.3,3925.89,0,0
Zhejiang,2040-06-26_16:00,77803.9,22773.8,99622.7,954.946,0,0
Zhejiang,2040-06-26_20:00,62565.2,25901.7,88466.9,0,0,0
Zhejiang,2040-12-19_00:00,47701.9,38737,85521.4,917.384,0,0
Zhejiang,2040-12-19_04:00,32240.9,43303.5,74627.1,917.384,0,0
Zhejiang,2040-12-19_08:00,64045.7,31464.8,94187.2,1323.36,0,0
Zhejiang,2040-12-19_12:00,80725.3,23182.3,102033,1875.08,0,0
Zhejiang,2040-12-19_16:00,69269.3,40768.3,110038,0,0,0
Zhejiang,2040-12-19_20:00,68325,30308,97715.5,917.384,0,0
Zhejiang,2050-06-12_00:00,36418.6,55225,91643.5,0,0,0
Zhejiang,2050-06-12_04:00,27920.3,52049,79969.3,0,0,0
Zhejiang,2050-06-12_08:00,38812.3,73976.7,100930,11859.3,0,0
Zhejiang,2050-06-12_12:00,62495.1,58722.6,109337,11881.1,0,0
Zhejiang,2050-06-12_16:00,48110.1,71907.3,117915,2102.72,0,0
Zhejiang,2050-06-12_20:00,45794.1,58916.4,104711,0,0,0
Zhejiang,2050-12-12_00:00,35355,66786.7,101224,917.384,0,0
Zhejiang,2050-12-12_04:00,30426.7,58820.3,88329.6,917.384,0,0
Zhejiang,2050-12-12_08:00,48348.8,65548,111481,2415.62,0,0
Zhejiang,2050-12-12_12:00,69826,58154,120767,7213.03,0,0
Zhejiang,2050-12-12_16:00,44444.7,85797.2,130242,0,0,0
Zhejiang,2050-12-12_20:00,50817,65757.7,115657,917.384,0,0
